"class","obj_ID","alpha","delta","u","g","r","i","z","run_ID","rerun_ID","cam_col","field_ID","spec_obj_ID","redshift","plate","MJD","fiber_ID"
"GALAXY",1.23765e+18,188.3787272,-1.82525735,21.94905,21.40775,19.74704,18.63669,18.40182,1140,301,5,237,4.25377e+18,0.5364348,3778,55213,437
"GALAXY",1.23767e+18,133.5392716,13.66108516,26.04226,23.19948,21.59418,20.10053,19.42016,5194,301,2,133,5.95956e+18,0.7607895,5293,55953,629
"GALAXY",1.23768e+18,354.8944712,35.3577603,23.86728,22.39131,20.69036,19.68516,19.20942,8156,301,5,207,8.03463e+18,0.480679,7136,56570,761
"GALAXY",1.23766e+18,143.4512081,42.96976392,24.63947,22.49593,20.79557,19.50647,18.98386,2830,301,1,226,5.22211e+18,0.6987984,4638,55956,695
"GALAXY",1.23766e+18,34.31529099,-0.613073238,20.67956,19.51519,18.77179,18.30855,18.09616,2700,301,2,95,1.75304e+18,0.1723534,1557,53301,58
"GALAXY",1.23768e+18,12.06133731,-6.612378455,23.24005,21.91002,20.49375,19.6997,19.01034,8067,301,5,49,8.05494e+18,0.5871704,7154,56955,925
"GALAXY",1.23766e+18,189.7491224,41.60206143,25.35569,21.89995,20.36199,19.57535,19.20319,3840,301,2,199,5.29406e+18,0.2614059,4702,55618,277
"GALAXY",1.23765e+18,228.9855625,61.33370735,25.51359,22.10713,20.5968,19.64761,19.33613,2206,301,6,69,7.86015e+18,0.4994041,6981,56443,877
"GALAXY",1.23767e+18,186.1305628,34.49674409,24.52489,23.14146,21.72433,20.10796,19.37324,4552,301,2,107,1.15372e+19,0.759606,10247,58162,533
"GALAXY",1.23766e+18,128.9852591,29.03653474,25.15137,21.55961,19.97383,18.96206,18.52072,3606,301,3,34,5.01493e+18,0.5299038,4454,55536,635
"GALAXY",1.23767e+18,154.4061742,17.53926215,25.11544,23.83045,22.39979,21.22269,21.59106,5935,301,4,253,1.07772e+19,0.8997056,9572,57837,181
"GALAXY",1.23767e+18,117.8888378,12.30400212,20.72701,18.49717,17.16598,16.67056,16.28651,5061,301,3,21,5.07345e+18,0.1943121,4506,55568,514
"GALAXY",1.23766e+18,222.0200323,57.74811703,20.03837,18.21196,17.38136,16.92971,16.64142,2304,301,5,323,8.90711e+17,0.1403229,791,52435,453
"GALAXY",1.23766e+18,136.7764534,32.08159907,19.43906,17.82647,17.15396,16.81682,16.56587,3704,301,5,41,1.79143e+18,0.04951688,1591,52976,444
"GALAXY",1.23766e+18,242.0859032,41.29081508,23.70224,22.31138,20.58702,19.71541,19.2115,3187,301,5,102,6.81419e+18,0.4609038,6052,56092,883
"GALAXY",1.23768e+18,327.226597,2.50348031,26.15998,21.65261,20.07403,18.96142,18.55427,7717,301,5,111,4.60045e+18,0.5083393,4086,55446,95
"GALAXY",1.23768e+18,25.98429807,-2.140204465,27.05799,22.45853,20.62112,19.76955,19.15541,7780,301,4,75,4.89789e+18,0.5802242,4350,55556,815
"GALAXY",1.23765e+18,233.3465187,2.409247543,20.52797,18.7178,17.85114,17.37423,17.08512,1458,301,5,724,3.32606e+18,0.1149144,2954,54561,539
"GALAXY",1.23768e+18,19.14831169,8.876805567,23.04321,22.53237,21.02294,19.82627,19.40087,7784,301,2,323,5.12855e+18,0.5294451,4555,56189,289
"GALAXY",1.23767e+18,120.9262141,7.985566657,24.46111,22.92433,20.99596,19.92338,19.35398,5972,301,4,35,5.45297e+18,0.5797158,4843,55860,877
"GALAXY",1.23767e+18,144.1327024,23.70984725,20.06933,17.5665,16.17708,15.66764,15.37719,5061,301,4,203,2.58186e+18,0.2097344,2293,53730,625
"GALAXY",1.23767e+18,228.3287767,14.42757307,20.75479,18.7732,17.86691,17.46514,17.16204,5317,301,3,33,3.1143e+18,0.08294065,2766,54242,212
"GALAXY",1.23767e+18,230.9272418,22.04278427,23.55766,22.21877,20.47993,19.51638,18.91785,4649,301,4,305,4.44632e+18,0.5105704,3949,55650,511
"GALAXY",1.23768e+18,353.1295921,9.049688232,26.76335,21.90414,20.26015,19.20757,18.62182,7784,301,2,151,6.94128e+18,0.5317218,6165,56208,383
"GALAXY",1.23766e+18,218.527649,41.53498936,23.80991,22.13615,20.36076,19.35008,18.86102,3699,301,2,185,6.82421e+18,0.5304973,6061,56076,461
"GALAXY",1.23767e+18,168.5592583,33.89900199,23.20362,24.17768,22.38715,20.61751,19.9353,4576,301,4,357,1.15575e+19,0.6542857,10265,58512,437
"GALAXY",1.24e+18,11.86485002,19.01824447,21.8824,20.72217,19.45628,18.97728,18.60101,7913,301,1,33,8.57732e+18,0.1663185,7618,56898,763
"GALAXY",1.23767e+18,164.0036046,28.5425468,23.73291,22.34309,20.22011,19.37779,18.72189,5071,301,4,324,7.25774e+18,0.4289203,6446,56363,693
"GALAXY",1.23766e+18,240.4757204,27.71530828,23.17855,21.63509,19.63643,18.96898,18.62421,3927,301,4,87,5.31891e+18,0.3316499,4724,55742,594
"GALAXY",1.23766e+18,149.7998592,36.6215548,18.03461,16.21844,15.70094,15.41793,15.27866,3647,301,3,82,1.79698e+18,0.04099243,1596,52998,141
"GALAXY",1.23768e+18,16.99956439,30.67473506,24.63466,22.16452,21.38896,20.26791,22.8269,8111,301,1,177,8.69421e+18,0.2014361,7722,58425,43
"GALAXY",1.23767e+18,260.7445563,33.70680369,23.82968,22.10857,20.52533,19.33521,18.86665,4679,301,3,240,5.62853e+18,0.6311762,4999,55721,569
"GALAXY",1.23768e+18,326.4832402,4.07304869,25.26711,22.79274,21.01731,19.69674,19.28379,7765,301,4,99,4.60616e+18,0.6634386,4091,55498,370
"GALAXY",1.23765e+18,216.6528597,64.41255765,21.73462,20.671,19.66458,18.92916,18.97085,1412,301,4,256,8.02109e+18,0.54362,7124,56720,644
"GALAXY",1.23767e+18,209.014256,24.50980502,19.91356,18.13183,17.32348,16.95377,16.65889,4670,301,1,81,2.38585e+18,0.06394879,2119,53792,251
"GALAXY",1.23766e+18,212.7432495,34.02232433,23.61172,22.33819,20.65617,19.64471,19.19123,4512,301,3,99,4.34377e+18,0.5165445,3858,55273,160
"GALAXY",1.23765e+18,54.48825142,-7.582064626,24.05453,20.58738,18.6806,18.09742,17.71659,1045,301,1,135,5.20244e+17,0.3748017,462,51909,285
"GALAXY",1.23766e+18,219.5539143,42.14296965,22.32867,21.30214,19.54279,18.74715,18.28814,3699,301,4,187,6.82427e+18,0.4289579,6061,56076,691
"GALAXY",1.23767e+18,177.8393624,35.90267682,25.89089,22.67381,21.00861,19.87459,19.29736,4552,301,6,62,5.23555e+18,0.6383691,4650,55648,437
"GALAXY",1.23766e+18,231.1990971,27.95094351,20.66473,18.74165,17.60853,17.15895,16.76941,4512,301,3,212,2.07957e+18,0.149736,1847,54176,103
"GALAXY",1.23767e+18,341.3194291,31.93227352,24.20424,21.26006,19.54906,18.67896,18.15255,6354,301,3,108,8.04016e+18,0.456254,7141,56565,401
"GALAXY",1.23767e+18,343.0457228,5.890557641,22.46249,20.97448,19.27367,18.49027,18.03979,5655,301,1,243,4.96751e+18,0.3411261,4412,55912,140
"GALAXY",1.23767e+18,35.09632223,5.842052682,23.96867,22.23957,20.69992,19.90918,19.60379,5065,301,2,107,4.95396e+18,0.3846599,4400,55509,5
"GALAXY",1.23767e+18,258.8879385,34.52700383,24.90529,22.37401,20.68479,19.62008,19.09428,6161,301,4,101,5.62283e+18,0.5635604,4994,55739,319
"GALAXY",1.23766e+18,133.0339868,33.14352991,19.06752,17.30757,16.43798,15.94433,15.62287,3606,301,6,69,1.43111e+18,0.06651355,1271,52974,327
"GALAXY",1.23766e+18,168.1591579,43.43883521,22.55254,20.5731,18.76375,18.17776,17.8378,3562,301,3,119,5.27487e+18,0.3588451,4685,55657,96
"GALAXY",1.23767e+18,138.720722,17.58360587,23.64938,22.78108,22.60153,21.99422,22.37016,5137,301,3,171,1.07514e+19,0.9608458,9549,57807,667
"GALAXY",1.23768e+18,27.19443376,1.072805653,24.48389,22.23417,20.73657,19.81988,19.21721,7717,301,1,511,4.76501e+18,0.5199531,4232,55447,745
"GALAXY",1.23766e+18,203.3976564,7.293291047,19.88858,18.49661,17.39513,16.91797,16.56411,3841,301,4,256,2.02788e+18,0.16115,1801,54156,471
"GALAXY",1.23768e+18,347.6698855,3.012115816,24.82138,21.53993,20.27877,19.4446,19.15099,7717,301,5,247,4.82685e+18,0.5291386,4287,55483,411
"GALAXY",1.23766e+18,215.3446321,38.05928849,20.13722,18.14778,17.2546,16.78961,16.59725,3919,301,3,84,1.55497e+18,0.07984464,1381,53089,355
"GALAXY",1.23765e+18,137.4805914,59.60270607,24.45784,23.36096,22.18053,21.03284,19.91075,1412,301,5,23,9.23028e+18,0.9253281,8198,57374,545
"GALAXY",1.23767e+18,20.2746732,-0.483594438,18.66364,16.81474,15.98992,15.60315,15.30993,4858,301,2,490,4.49318e+17,0.05410035,399,51817,304
"GALAXY",1.23767e+18,17.84439,0.217305853,24.02305,22.61765,21.89129,21.25123,20.76719,4858,301,4,473,1.05747e+19,0.8325196,9392,58104,860
"GALAXY",1.23766e+18,132.4089571,33.50848839,19.82673,18.62328,17.82371,17.39632,17.18371,4516,301,1,57,1.36241e+18,0,1210,52701,273
"GALAXY",1.23766e+18,220.1563574,37.68098084,22.87446,20.75358,19.05098,18.45626,18.08666,3893,301,5,356,5.82435e+18,0.3343117,5173,56046,262
"GALAXY",1.23768e+18,343.9293502,25.60693592,22.56962,22.25441,21.36186,20.67205,20.70156,8109,301,3,133,8.62232e+18,0.7417508,7658,57312,646
"GALAXY",1.23766e+18,6.001057732,-0.817524787,20.14468,18.25585,17.08372,16.59708,16.23867,4263,301,2,156,4.39119e+17,0.1663633,390,51900,67
"GALAXY",1.23766e+18,15.50523831,-0.642327155,22.94099,22.57569,21.68618,21.10222,20.6356,4263,301,2,219,1.05701e+19,0.8602949,9388,58074,564
"GALAXY",1.23768e+18,24.07413232,11.37059942,22.57157,21.75048,20.03641,19.20543,18.75284,7773,301,2,468,5.25347e+18,0.4344108,4666,55832,87
"GALAXY",1.23767e+18,166.5282061,22.09355326,19.61888,17.73328,16.71867,16.31197,15.99773,5183,301,5,235,7.23752e+18,0.1295743,6428,56279,854
"GALAXY",1.23768e+18,330.3498717,16.39257751,22.10246,20.87021,19.10667,18.43053,18.01654,8101,301,3,38,5.69844e+18,0.3486215,5061,55806,931
"GALAXY",1.23768e+18,9.06771673,12.69901655,23.37104,22.42019,20.14981,19.22672,18.66209,7773,301,4,369,6.97612e+18,0.4393759,6196,56189,153
"GALAXY",1.23766e+18,149.6759902,45.92936474,24.12543,23.52783,21.83267,20.60089,19.88402,2830,301,2,262,8.20113e+18,0.7902234,7284,56683,273
"GALAXY",1.23766e+18,148.9458395,35.19349106,23.09379,22.85327,20.81519,19.66062,19.21394,3704,301,1,110,5.14875e+18,0.5940952,4573,55587,43
"GALAXY",1.23768e+18,318.5381754,7.465482775,23.84628,23.1389,21.22728,20.01625,19.52114,7770,301,5,42,4.59605e+18,0.6013336,4082,55367,473
"GALAXY",1.23767e+18,180.4960522,35.86477375,22.5381,21.34935,19.63064,18.83492,18.49502,4576,301,6,424,5.19055e+18,0.4482899,4610,55621,549
"GALAXY",1.23766e+18,36.29863263,-1.067741059,20.53071,18.7946,17.65865,17.17137,16.85291,4263,301,1,358,1.20699e+18,0.1705012,1072,52643,84
"GALAXY",1.23766e+18,217.9017816,51.09472224,22.90649,21.06518,19.40947,18.5955,18.19858,3180,301,5,84,1.17783e+18,0.4564729,1046,52460,521
"GALAXY",1.23767e+18,124.7141872,17.91291431,22.62509,20.32472,18.71646,18.09909,17.79294,5045,301,4,91,5.05658e+18,0.2958655,4491,55570,577
"GALAXY",1.23765e+18,182.2176934,64.02822021,22.59151,20.40968,18.61369,17.90378,17.47672,1302,301,1,368,6.74473e+17,0.410031,599,52317,213
"GALAXY",1.23767e+18,162.2144448,20.42241561,24.05659,22.95705,21.27903,20.18491,19.70098,5183,301,2,207,6.61487e+18,0.6515958,5875,56038,769
"GALAXY",1.23767e+18,137.1108234,13.45643802,20.96649,18.71647,17.71964,17.27779,16.92014,5935,301,3,138,2.74277e+18,0.09723627,2436,54054,296
"GALAXY",1.23766e+18,249.6987065,35.60289538,23.23984,22.27539,20.69395,19.74096,19.32828,3225,301,2,267,5.85143e+18,0.5593343,5197,55828,473
"GALAXY",1.23767e+18,119.7139677,15.65055457,21.23074,19.39453,18.09434,17.50096,17.07071,5045,301,5,56,5.06092e+18,0.1773367,4495,55566,14
"GALAXY",1.23767e+18,152.9325638,14.97742501,23.25372,23.07323,22.39387,21.71358,21.59735,5972,301,4,250,1.0783e+19,0.4095475,9577,57786,924
"GALAXY",1.23766e+18,225.8201168,8.955047519,20.78165,18.6911,17.47775,16.99894,16.62661,3836,301,2,509,1.93324e+18,0.168172,1717,53883,261
"GALAXY",1.23766e+18,135.654331,34.36630896,19.88447,18.12503,17.24888,16.87873,16.57792,3606,301,6,85,1.36347e+18,0.1149789,1211,52964,16
"GALAXY",1.23767e+18,153.6377094,19.38374254,20.54015,18.55495,17.51902,17.06085,16.69943,5183,301,3,153,2.67296e+18,0.1062569,2374,53765,269
"GALAXY",1.23766e+18,185.2575047,4.350152724,19.45953,18.11754,17.57586,17.27526,17.01976,2247,301,2,163,3.24267e+18,0,2880,54509,270
"GALAXY",1.23765e+18,119.3620665,39.52238084,20.38087,18.75084,17.84011,17.38923,17.09946,2076,301,5,102,6.12582e+17,0.09572739,544,52201,337
"GALAXY",1.23765e+18,155.0518411,58.56880542,21.90667,21.28073,20.19312,19.49202,19.0687,2074,301,3,205,7.97835e+18,0.5770575,7086,56658,827
"GALAXY",1.23767e+18,147.882076,20.77346387,23.19492,21.67636,19.73522,18.86332,18.46396,5138,301,4,53,6.51339e+18,0.4754829,5785,56269,217
"GALAXY",1.23766e+18,132.0124739,25.32401749,22.82804,21.1756,19.44208,18.62976,18.2357,4508,301,5,134,5.83241e+18,0.4716868,5180,55947,893
"GALAXY",1.23766e+18,192.0893716,52.3554538,19.95123,18.18359,17.15968,16.71665,16.34224,2830,301,4,449,9.96432e+17,0.1229175,885,52379,37
"GALAXY",1.24e+18,196.892564,49.02977179,19.48984,18.27483,17.62926,17.22636,17.00614,3650,301,3,61,1.44235e+18,0.09875659,1281,52753,274
"GALAXY",1.23768e+18,23.61680292,34.08082727,24.64484,22.0754,20.30435,19.43527,18.77197,7781,301,5,84,7.43338e+18,0.5101354,6602,56571,685
"GALAXY",1.23768e+18,330.6905296,2.37478058,24.05647,23.3986,22.13189,20.79449,19.9549,7712,301,4,134,1.03202e+19,0.637359,9166,58051,713
"GALAXY",1.23768e+18,357.864887,27.86174206,21.56522,21.7998,19.60915,18.9331,18.46407,8103,301,5,83,7.33524e+18,0.3999518,6515,56536,8
"GALAXY",1.23765e+18,113.2974849,36.80135673,22.86513,22.13732,21.96352,22.25674,21.65127,1402,301,3,30,1.05453e+19,-0.000976752,9366,57746,348
"GALAXY",1.23768e+18,28.83784208,-3.204058971,26.73653,22.75353,20.51442,19.26964,18.63885,7778,301,1,509,4.89664e+18,0.6112306,4349,55803,377
"GALAXY",1.23766e+18,205.5019644,36.2768178,25.31446,23.22924,22.28474,21.0283,19.79269,4470,301,5,126,9.99473e+18,1.003155,8877,57782,409
"GALAXY",1.23766e+18,176.9433449,49.11880375,22.51341,22.38505,20.99175,19.94805,19.10154,2964,301,2,287,8.3351e+18,0.8074508,7403,57071,233
"GALAXY",1.23768e+18,337.487666,17.62073251,26.6825,22.73867,20.9886,19.79411,19.24226,8101,301,3,84,5.66461e+18,0.6089996,5031,56209,739
"GALAXY",1.23767e+18,207.6660753,20.08794801,24.13565,22.634,20.90904,19.70166,19.42311,5194,301,2,605,6.61e+18,0.5994436,5869,56064,341
"GALAXY",1.23766e+18,175.9068933,50.82684652,22.84508,22.28069,21.19235,20.16554,19.39443,2964,301,6,283,9.25953e+18,0.6376755,8224,57378,463
"GALAXY",1.23766e+18,148.6422521,44.98724219,19.94975,18.45906,17.49115,17.05296,16.69955,2830,301,1,254,1.06069e+18,0.1700103,942,52703,324
"GALAXY",1.23767e+18,220.960377,13.8799028,20.97978,18.75159,17.61556,17.14638,16.75613,5322,301,2,76,3.09515e+18,0.1479554,2749,54241,183
"GALAXY",1.23766e+18,125.6182329,31.94653378,22.84217,22.12589,20.31157,19.59651,18.99319,2830,301,1,107,5.00582e+18,0.4442155,4446,55589,266
"GALAXY",1.23766e+18,225.2388195,51.79769701,23.78223,25.35501,23.52953,21.55078,19.62611,3225,301,1,108,9.45433e+18,1.355396,8397,57482,547
"GALAXY",1.23766e+18,206.4430047,52.94946988,26.29223,22.38174,20.56749,19.66779,19.27067,3180,301,3,36,7.58877e+18,0.5197071,6740,56401,747
"GALAXY",1.23766e+18,199.8903968,42.05453773,22.08717,20.18704,18.55331,17.93907,17.54617,3840,301,5,248,1.64398e+18,0.3175433,1460,53138,618
"GALAXY",1.23766e+18,234.0460699,30.57378692,24.19798,21.57874,19.7514,18.85118,18.46199,3919,301,3,198,5.31668e+18,0.4989221,4722,55735,645
"GALAXY",1.23766e+18,214.8492472,-2.826686717,19.46095,18.39923,17.78167,17.33669,17.18428,2379,301,2,38,1.03249e+18,0.08837547,917,52400,132
"GALAXY",1.23766e+18,127.0044761,28.30858067,20.05698,18.21171,17.28612,16.88595,16.56728,3606,301,4,22,1.42664e+18,0.09172247,1267,52932,459
"GALAXY",1.23767e+18,19.09346734,27.01808174,22.98607,23.78405,21.80375,20.76192,20.00251,4829,301,4,121,8.64696e+18,0.4942117,7680,58131,171
"GALAXY",1.23767e+18,57.17436691,0.754143543,21.75988,20.6955,19.49054,18.99376,18.52978,4849,301,5,836,1.83872e+18,0.3425453,1633,52998,457
"GALAXY",1.23768e+18,350.7732356,26.21775299,21.72476,22.0664,20.95238,19.92619,19.69552,8110,301,2,174,7.09682e+18,0.5306614,6303,56539,999
"GALAXY",1.23766e+18,127.4445863,37.35140531,24.94631,24.65136,22.10608,20.49779,19.71922,2777,301,3,140,9.97237e+18,0.7400057,8857,57449,991
"GALAXY",1.23766e+18,198.1424469,46.03540418,20.21246,18.28109,17.20586,16.76166,16.40396,3699,301,2,82,1.645e+18,0.1382617,1461,53062,229
"GALAXY",1.23768e+18,44.24731447,-1.737328113,25.5214,22.90431,20.93294,19.6565,19.21255,7780,301,4,197,4.88777e+18,0.5591268,4341,55538,883
"GALAXY",1.23767e+18,231.797903,24.78381359,23.46336,21.56001,20.67679,19.9014,19.1857,4576,301,2,725,4.45858e+18,0.289664,3960,55663,45
"GALAXY",1.23766e+18,166.2945441,40.64033876,24.70561,22.01992,20.12573,19.33913,18.78722,3840,301,3,81,5.21e+18,0.4618741,4625,55632,943
"GALAXY",1.23768e+18,343.6432457,17.77923628,24.45326,23.70293,22.00295,20.74172,19.77259,8096,301,1,124,8.56249e+18,0.631216,7605,56949,91
"GALAXY",1.23768e+18,350.5220278,19.74120838,22.11725,21.55086,19.95307,18.89934,18.51672,8096,301,4,168,6.89514e+18,0.5195997,6124,56211,477
"GALAXY",1.23766e+18,146.4145468,29.89146072,24.73298,21.63206,19.75229,18.91421,18.37972,4518,301,1,123,6.53147e+18,0.4633671,5801,56328,437
"GALAXY",1.23766e+18,236.4818757,35.46815705,26.32553,21.31011,19.71357,18.84492,18.42501,3926,301,6,65,5.59588e+18,0.480488,4970,56039,571
"GALAXY",1.23766e+18,136.9025101,56.92018255,18.87538,16.71796,15.70362,15.28958,14.96676,3600,301,1,40,5.43815e+17,0.1008622,483,51924,19
"GALAXY",1.23766e+18,195.9993121,56.86091066,21.89708,19.63445,18.18126,17.63387,17.28677,3705,301,3,35,7.69104e+18,0.2530991,6831,56426,78
"GALAXY",1.23765e+18,19.14293274,-9.022184702,19.77017,18.50203,17.73152,17.35421,17.12337,1740,301,5,148,7.4323e+17,0.169815,660,52177,494
"GALAXY",1.23766e+18,210.634447,5.038570282,23.03439,19.61641,18.03317,17.42027,17.1007,2247,301,5,332,6.55369e+17,0.2785245,582,52045,345
"GALAXY",1.23767e+18,240.0042992,21.00739573,22.17341,20.97714,19.15182,18.52658,18.1124,4576,301,2,781,4.43046e+18,0.3509447,3935,55326,164
"GALAXY",1.23768e+18,35.32483366,-4.609025268,23.8671,22.7658,22.27096,22.04592,21.4944,7881,301,3,257,1.04968e+19,0.8973641,9323,58047,56
"GALAXY",1.23768e+18,339.8818247,11.57458757,23.80377,21.14629,20.04254,19.27994,18.80089,7773,301,4,179,5.68471e+18,0.4896166,5049,56103,145
"GALAXY",1.23768e+18,335.0026826,3.220722793,25.00614,22.01863,20.044,18.96728,18.60275,7765,301,1,155,4.86628e+18,0.5110004,4322,55503,505
"GALAXY",1.23766e+18,249.0608111,21.94091658,21.80356,23.83588,20.77807,19.56605,18.87484,3919,301,4,305,4.71419e+18,0.6463231,4187,55693,189
"GALAXY",1.23767e+18,18.24412832,14.78259301,21.49461,19.85253,18.34961,17.78595,17.37475,4800,301,2,20,5.785e+18,0.2524013,5138,55830,454
"GALAXY",1.23768e+18,6.439828716,9.465730877,22.643,22.45219,22.17373,21.72347,21.19608,7880,301,2,85,1.27364e+19,1.310298,11312,58433,924
"GALAXY",1.23765e+18,133.4109105,0.982566137,25.39565,22.32355,20.51019,19.42353,18.82943,1239,301,6,87,4.29548e+18,0.6178095,3815,55537,637
"GALAXY",1.23766e+18,236.7637194,29.72303248,19.91016,17.78109,16.79075,16.3371,15.93624,3919,301,4,214,1.56512e+18,0.09670313,1390,53142,429
"GALAXY",1.23767e+18,148.8303026,22.5764608,22.88805,22.88914,20.87878,19.49906,18.90305,5080,301,3,236,6.51563e+18,0.6983482,5787,56254,169
"GALAXY",1.23768e+18,23.66527078,-3.918057913,26.45675,23.04016,22.1359,22.28047,21.96552,7865,301,5,73,1.05e+19,0.9970347,9330,57743,387
"GALAXY",1.23767e+18,241.9075356,12.23860694,18.38496,16.3351,15.45945,14.98432,14.73029,5330,301,2,88,5.85941e+18,0.06380644,5204,56036,822
"GALAXY",1.23766e+18,245.6697404,39.66011949,20.24132,18.4018,17.60378,17.23022,16.93454,3225,301,2,232,1.31965e+18,0.06402034,1172,52759,341
"GALAXY",1.23766e+18,116.8407117,26.0173533,19.44258,17.66083,16.73783,16.31718,15.97877,2830,301,4,43,9.66081e+17,0.1336251,858,52316,214
"GALAXY",1.23765e+18,230.3424285,60.43905447,23.18673,21.23168,19.42085,18.79381,18.41452,1412,301,5,306,7.86018e+18,0.3226202,6981,56443,980
"GALAXY",1.23766e+18,200.4962925,46.56436434,17.86242,16.35115,15.59171,15.15559,14.87726,3699,301,4,92,1.64495e+18,0.06076125,1461,53062,30
"GALAXY",1.23766e+18,237.0516834,35.01671177,20.46701,18.59956,17.66195,17.27382,16.96119,3926,301,6,69,1.57975e+18,0.1131812,1403,53227,426
"GALAXY",1.23766e+18,231.5679074,45.77988487,25.23809,23.30753,21.01012,19.96304,19.31324,3187,301,1,44,9.58725e+18,0.5241855,8515,58192,763
"GALAXY",1.23767e+18,354.3867896,9.810090806,23.53625,22.78581,20.81273,19.6547,19.34888,6354,301,4,276,6.9334e+18,0.5914806,6158,56239,389
"GALAXY",1.23766e+18,244.3328474,28.59010421,23.80376,22.18446,20.87197,19.90132,19.48582,3926,301,3,128,5.6375e+18,0.4806061,5007,55710,427
